<Register>;<Description>;<min>;<max>;<divisor>;<comma>;<access>;<pcb>
5434;Ventilator: Impulse pro Umdrehung;1;20;1;0;R;LU
1294;Vereisungsschutz;0;1;1;0;R;LU
5026;Volumenstrombalance Zuluft-Abluft;-10;30;1;0;R/W;LU
5038;Zeitspanne Funktion PARTY;3600;14400;60;0;R/W;LU
1292;Anforderung der Ventilatoren durch Wärmepumpe;0;1;1;0;R;WP
1038;Anforderung: Brauchwasserheizung Elektoheizstab;0;1;1;0;R;WP
1036;Anforderung: Brauchwasserheizung Wärmepumpe;0;1;1;0;R;WP
1032;Anforderung: Raum-Heizstufe 1;0;1;1;0;R;WP
1034;Anforderung: Raum-Heizstufe 2;0;1;1;0;R;WP
1336;Anforderung: Ventilatoren extern;0;1;1;0;R;WP
5382;Ausschaltpunkt (Hysterese) Raum-Heizstufe 2;-1000;0;100;1;R/W;WP
5378;Ausschaltpunkt (Hysterese) Raum-Heizstufe 1;100;300;100;1;R/W;WP
202;Außenluft;-28000;100000;100;1;R;WP
5304;Außenluftfühler vorhanden?;0;1;1;0;R;WP
922;Betriebsstunden: Elektroheizstab;0;600000000;60;0;R;WP
912;Betriebsstunden: Heizstufe 1;0;600000000;60;0;R;WP
914;Betriebsstunden: Heizstufe 2;0;600000000;60;0;R;WP
910;Betriebsstunden: Kompressormotor;0;600000000;60;0;R;WP
916;Betriebsstunden: Magnetventil Flüssiggas;0;600000000;60;0;R;WP
918;Betriebsstunden: Magnetventil Heißgas;0;600000000;60;0;R;WP
920;Betriebsstunden: Magnetventil Luftkondensator;0;600000000;60;0;R;WP
212;Boiler;-28000;100000;100;1;R;WP
214;Boilerfühler Wärmepumpe;-28000;100000;100;1;R;WP
838;Brandmeldealarm;0;1;1;0;R;WP
5064;Brauchwasser Solltemperatur;20000;50000;1000;0;R/W;WP
5130;Brauchwassertemperatur: Raumheizungssperre;20000;40000;1000;0;R/W;WP
5210;Datum;0;99999999;1;0;R/W;WP
1338;Disbalance bei Boilerüberwärmung;0;1;1;0;R;WP
1186;Drehzahl Abluftventilator;0;3500;1;0;R;WP
1184;Drehzahl Zuluftventilator;0;3500;1;0;R;WP
5376;Einschaltpunkt (Hysterese) Raum-Heizstufe 1;-300;-100;100;1;R/W;WP
5380;Einschaltpunkt (Hysterese) Raum-Heizstufe 2;-1500;-500;100;1;R/W;WP
5126;Elektroheizstab vorhanden?;0;1;1;0;R;WP
5488;Energieoptimierung;20;70;1;0;R/W;WP
5146;EVU Anlage vorhanden?;0;1;1;0;R;WP
1270;EVU-Sperre Brauchwasser aktiv;0;1;1;0;R;WP
1274;EVU-Sperre Elektroheizstab aktiv;0;1;1;0;R;WP
1272;EVU-Sperre Raumheizung aktiv;0;1;1;0;R;WP
5036;Funktion BAD+;0;1;1;0;R/W;WP
5492;Funktion HEIZUNG+;0;1;0;0;R/W;WP
5000;Gerätetyp;1;90;1;0;R;WP
2000;History: Datum 01;0;31249999;1;0;R;WP
2002;History: Datum 02;0;31249999;1;0;R;WP
2004;History: Datum 03;0;31249999;1;0;R;WP
2006;History: Datum 04;0;31249999;1;0;R;WP
2008;History: Datum 05;0;31249999;1;0;R;WP
2010;History: Datum 06;0;31249999;1;0;R;WP
2012;History: Datum 07;0;31249999;1;0;R;WP
2014;History: Datum 08;0;31249999;1;0;R;WP
2016;History: Datum 09;0;31249999;1;0;R;WP
2018;History: Datum 10;0;31249999;1;0;R;WP
2020;History: Datum 11;0;31249999;1;0;R;WP
2022;History: Datum 12;0;31249999;1;0;R;WP
2024;History: Datum 13;0;31249999;1;0;R;WP
2026;History: Datum 14;0;31249999;1;0;R;WP
2028;History: Datum 15;0;31249999;1;0;R;WP
2030;History: Datum 16;0;31249999;1;0;R;WP
2032;History: Datum 17;0;31249999;1;0;R;WP
